,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
201706,   -0.21,    0.04,    0.77,    4.10,   -0.04,    0.58,    0.30,    2.00,    4.87,    0.14,   -0.28,    0.27,    0.94,   -0.16,    0.88,    1.42,    2.74,    4.27,    6.25
201707,    0.01,    2.47,    1.57,    1.93,    2.38,    1.98,    1.59,    1.99,    2.13,    2.04,    2.76,    2.67,    1.14,    2.28,    0.87,    2.43,    1.68,    2.40,    1.77
201708,   -0.30,    1.26,   -0.33,   -1.32,    1.88,   -0.04,   -0.68,   -0.51,   -1.97,    0.51,    3.39,   -0.24,    0.20,    0.02,   -1.44,   -0.47,   -0.54,   -1.52,   -2.61
201709,    0.77,    1.46,    3.10,    5.10,    1.39,    1.78,    4.22,    3.73,    5.45,    2.28,    0.43,    1.60,    2.00,    3.86,    4.61,    2.36,    4.68,    5.06,    6.01
201710,   -0.33,    3.09,    1.37,    2.63,    3.88,    1.22,    1.96,    0.78,    3.65,    2.85,    5.02,    1.17,    1.29,    4.63,   -0.84,   -0.16,    1.43,    3.21,    4.27
201711,    3.79,    3.28,    3.30,    3.14,    3.40,    2.82,    4.28,    2.92,    2.80,    4.30,    2.43,    3.00,    2.61,    4.13,    4.45,    1.95,    3.56,    3.31,    2.09
201712,    1.85,    0.87,    1.03,    1.77,    0.95,    1.06,    1.40,    0.89,    1.35,    1.35,    0.51,    0.67,    1.54,    1.97,    0.76,   -1.24,    2.28,    0.86,    2.03
201801,    3.25,    6.35,    5.29,    4.91,    7.62,    4.99,    4.87,    3.87,    4.93,    9.46,    5.57,    3.19,    7.15,    5.67,    3.97,    2.25,    4.89,    5.04,    4.77
201802,   -3.80,   -2.58,   -4.67,   -4.02,   -1.63,   -4.76,   -4.80,   -5.36,   -2.61,   -2.63,   -0.48,   -5.04,   -4.43,   -4.79,   -4.81,   -4.84,   -5.68,   -1.77,   -3.78
201803,   -1.14,   -2.26,   -1.95,   -2.84,   -2.34,   -3.14,   -1.17,   -0.82,   -3.28,   -2.06,   -2.66,   -2.05,   -4.40,   -0.73,   -1.67,    1.60,   -2.30,   -2.55,   -4.30
201804,   -2.30,    0.65,    0.15,    0.72,    0.16,    0.80,    0.62,    0.80,    0.43,    0.60,   -0.34,    1.95,   -0.56,    0.25,    1.04,    0.37,    1.07,   -0.32,    1.50
201805,    1.10,    4.02,    2.38,    0.28,    4.62,    2.75,    1.82,    1.53,   -0.26,    3.53,    5.87,    2.45,    3.11,    2.44,    1.10,    2.48,    0.94,    0.61,   -1.49
201806,    1.69,    1.13,    0.49,   -1.10,    0.96,    1.26,    0.09,    0.08,   -1.69,    1.62,    0.24,    1.56,    0.89,   -0.25,    0.49,    0.84,   -0.41,   -1.88,   -1.42
201807,    4.00,    3.18,    3.24,    4.20,    2.70,    4.78,    3.17,    3.03,    4.08,    3.45,    1.73,    4.75,    4.84,    3.53,    2.87,    1.16,    4.28,    4.45,    3.31
201808,    1.60,    5.36,    1.84,    1.00,    6.33,    2.38,    1.75,    0.81,    1.46,    6.29,    6.37,    2.24,    2.58,    2.28,    1.30,    0.95,    0.71,    1.35,    1.69
201809,    2.40,    0.56,    0.27,   -1.84,    0.71,    0.95,   -1.05,   -1.21,   -1.48,    1.00,    0.33,    0.06,    2.24,   -0.52,   -1.50,    0.10,   -2.07,   -2.00,   -0.39
201810,   -5.10,   -8.37,   -6.47,   -5.98,   -9.16,   -6.13,   -6.05,   -5.53,   -8.07,  -11.07,   -6.66,   -5.70,   -6.75,   -6.48,   -5.69,   -6.92,   -4.62,   -7.09,  -10.13
201811,    2.83,    1.49,    2.23,    2.15,    1.04,    2.90,    2.14,    2.35,    1.01,    3.25,   -1.73,    2.97,    2.80,    3.78,    0.71,    1.56,    2.86,    1.17,    0.66
201812,  -10.54,   -8.40,   -9.84,  -11.70,   -8.60,   -8.02,  -10.49,  -10.84,  -12.89,   -8.15,   -9.21,   -7.74,   -8.44,  -11.61,   -9.47,  -10.61,  -10.98,  -12.61,  -13.49
201901,    8.69,    8.31,    8.54,    9.35,    8.59,    7.19,   10.37,    7.33,   12.78,    8.85,    8.26,    7.41,    6.86,    9.23,   11.40,    7.35,    7.32,   13.24,   11.77
201902,    5.38,    3.85,    3.97,    1.48,    4.30,    3.39,    3.76,    1.82,    2.13,    4.52,    4.00,    2.42,    4.86,    4.27,    3.31,    3.02,    1.07,    2.32,    1.71
201903,    1.12,    2.73,    0.13,   -2.17,    3.02,    1.44,   -0.28,   -1.07,   -3.23,    2.93,    3.15,    1.72,    1.03,    0.50,   -0.97,   -0.40,   -1.51,   -3.14,   -3.43
201904,    3.10,    3.98,    3.56,    6.86,    4.25,    3.24,    4.03,    5.19,    6.99,    4.10,    4.44,    3.08,    3.46,    5.23,    2.95,    2.73,    6.79,    7.40,    6.07
201905,   -3.95,   -6.50,   -6.93,   -8.47,   -6.92,   -6.02,   -5.81,   -8.39,   -8.83,   -6.11,   -8.00,   -5.06,   -7.39,   -6.61,   -5.08,   -8.61,   -8.25,   -9.46,   -7.40
201906,    6.24,    7.16,    7.12,    7.35,    7.78,    6.44,    6.72,    6.72,    7.42,    6.69,    9.29,    5.05,    8.48,    7.05,    6.42,    5.78,    7.30,    7.54,    7.13
201907,    0.36,    1.73,    0.70,    2.04,    1.57,    1.86,    1.41,    0.44,    1.91,    1.24,    2.07,    2.14,    1.16,    1.70,    1.01,   -0.36,    2.21,    2.49,    0.77
201908,   -2.10,   -1.11,   -3.62,   -6.93,   -0.55,   -2.80,   -3.85,   -3.89,   -8.88,    0.29,   -1.78,   -2.62,   -3.28,   -4.19,   -3.37,   -3.63,   -4.46,   -8.36,   -9.92
201909,    1.86,    0.25,    3.85,    5.74,    0.00,    1.65,    3.50,    5.01,    5.42,   -1.17,    1.74,    0.94,    3.46,    3.20,    3.91,    4.49,    6.13,    5.06,    6.15
201910,    0.30,    2.64,    1.80,    2.25,    3.02,    1.91,    1.92,    1.63,    1.81,    2.16,    4.27,    1.63,    2.62,    0.86,    3.38,    1.10,    2.79,    2.40,    0.62
